iter	Passed	Remaining
0	58	57983
1	59	29568
2	60	20139
3	61	15434
4	63	12564
5	64	10609
6	65	9251
7	66	8225
8	67	7432
9	68	6830
10	70	6318
11	71	5883
12	72	5502
13	73	5206
14	75	4956
15	76	4690
16	77	4470
17	78	4277
18	79	4123
19	80	3967
20	82	3825
21	83	3692
22	85	3614
23	86	3505
24	87	3404
25	88	3316
26	89	3226
27	90	3149
28	92	3090
29	93	3023
30	94	2956
31	95	2898
32	96	2835
33	97	2780
34	98	2723
35	100	2685
36	101	2632
37	102	2584
38	103	2539339	104	2505
40	106	2480
41	107	2454
42	109	2427
43	110	2394
44	111	2360
45	112	2334
46	113	2311
47	115	2283
48	116	2258449	117	2240550	119	2221551	121	2209552	123	2203553	125	2202
54	128	2201
55	129	2180
56	130	2164
57	132	2157
58	135	2155
59	136	2138
60	137	2121
61	139	2112
62	141	2099
63	142	2083
64	143	2067
65	144	2049
66	145	2032
67	147	2019
68	148	2002
69	149	1991
70	151	1976
71	152	1959
72	153	1945
73	154	1930
74	155	1916775	156	1905776	157	1891777	159	1882778	160	187379	164	1886
80	165	1880
81	167	1874
82	168	1863
83	169	1847
884	168	1811885	169	180186	173	1816
87	174	1810
88	175	1801
89	176	1789
90	178	1780
91	179	1770
92	180	1763
93	181	1753
94	183	1746
95	184	1737
96	185	1729
97	187	1724
98	188	1716
99	190	1712
100	191	1703
101	192	1696
102	194	1689
103	195	1684
104	196	1674
105	198	1670
106	199	1664
107	201	1661
108	202	1652
109	203	1646
110	204	1640
111	206	1633
112	207	1628
113	208	1622
114	209	1615
115	211	1609
116	213	1611
117	214	1604
118	215	1598
119	217	1593
120	219	1590
121	220	1583
122	221	1577
123	222	1573
124	223	1567
125	224	1560
126	226	1556
127	227	1551
128	228	1546
129	230	1542
130	232	1542
131	233	1536
132	235	1533
133	236	1528
134	238	1525
135	239	1522
136	241	1518
137	242	1514
138	243	1509
139	244	1504
140	246	1498
141	247	1492
142	248	1486
143	249	1484
144	251	1480
145	252	1474
146	253	1471
147	255	1469
148	256	1467
149	257	1461
150	259	1458
151	260	1455
152	262	1453
153	264	1451
154	265	1448
155	266	1444
156	269	1445
157	270	1440
158	271	1437
159	272	1432
160	274	1428
161	275	1424
162	276	1420
163	277	1415
164	279	1412
165	280	1407
166	281	1402
167	282	1397
168	283	1391
169	284	1387
170	285	1383
171	286	1379
172	287	1376
173	289	1372
174	290	1367
175	291	1362
176	292	1358
177	293	1354
178	294	1349
179	295	1345
180	296	1339
181	296	1334
182	297	1330
183	298	1325
184	300	1321
185	301	1317
186	302	1315
187	303	1311
188	304	1307
189	305	1304
190	307	1301
191	308	1297
192	310	1296
193	311	1293
194	312	1290
195	313	1286
196	315	1284
197	316	1280
198	317	1277
199	318	1273
200	319	1269
201	320	1267
202	322	1264
203	323	1260
204	324	1257
205	325	1256
206	327	1254
207	328	1251
208	329	1248
209	330	1245
210	332	1241
211	333	1239
212	335	1237
213	336	1235
214	337	1232
215	338	1229
216	340	1227
217	341	1224
218	342	1220
219	343	1217
220	345	1216
221	346	1213
222	347	1210
223	348	1208
224	351	1209
225	352	1205
226	353	1202
227	354	1199
228	355	1198
229	357	1195
230	358	1192
231	359	1189
232	360	1186
233	361	1183
234	362	1180
235	363	1177
236	364	1174
237	366	1172
238	367	1169
239	368	1167
240	369	1163
241	370	1161
242	371	1158
243	372	1155
