date,q_17012,q_17084,q_16924,q_17461,q_16936,q_16938
2001-01-31,647,202.4,76,58.1,173,63.2
2001-02-28,665,186.3,71,56,169,66.2
2001-03-31,753,222.7,114,54.8,202,54.2
2001-04-30,781,420.9,261,59.6,329,98.3
2001-05-31,1502,838.8,481,150,761,232.9
2001-06-30,3193,1452.8,521,276,866,280.8
2001-07-31,3087,1593.8,288,255,645,103.3
2001-08-31,2387,1197.6,191,175,565,74.2
2001-09-30,1289,517.8,133,104,377,61.2
2001-10-31,536,325.3,117,68.8,291,67.2
2001-11-30,416,258.3,114,59.8,243,107.3
2001-12-31,539,211.9,85,53.8,199,75.2
2002-01-31,562,172.1,79,37.1,190,68.2
2002-02-28,567,166.1,72,45.9,178,59.2
2002-03-31,811,257.3,121,58.2,201,59.2
2002-04-30,1640,544.7,400,107,491,369.7
2002-05-31,2740,973.6,443,178,714,414.7
2002-06-30,4373,1587.1,679,424,1577,487.6
2002-07-31,4617,1815.3,609,495,1160,252.3
2002-08-31,3983,1560.2,356,384,811,109.3
2002-09-30,2433,735.3,188,200,396,59.2
2002-10-31,1253,411.5,140,115,325,42.2
2002-11-30,840,247.2,107,99.4,255,41.2
2002-12-31,738,211.5,90,60.5,228,58.2
2003-01-31,670,192.7,79,50.6,198,54.2
2003-02-28,687,175.5,72,51.1,195,51.2
2003-03-31,1012,205.5,98,66.8,203,53.2
2003-04-30,2440,483.5,304,98.3,325,353.3
2003-05-31,3107,743.7,490,129,748,408.6
2003-06-30,5167,1225.1,729,357,1303,498.9
2003-07-31,5230,1677.7,505,476,1163,277.7
2003-08-31,3200,1113,247,284,725.4,97.3
2003-09-30,1787,720.5,156,168,525.3,65.2
2003-10-31,1009,315.2,104,115,301.2,52.2
2003-11-30,912,284.3,98,89.7,251.5,86.2
2003-12-31,869,259,84,64.5,220.5,89.2
2004-01-31,887.5,195.7,78,55.9,204,59.2
2004-02-29,906,171.8,82,49.8,200,46.2
2004-03-31,1110,302.8,115,61.8,214,69.2
2004-04-30,1550,583.7,284,102,406,266.5
2004-05-31,3080,824.7,459,211,717,360.5
2004-06-30,4320,1377.9,496,390,1114,346.1
2004-07-31,3853,1667.7,360,437,921,256.3
2004-08-31,2777,1355.4,224,309,570,145.7
2004-09-30,1567,659.7,145,159,361,58.2
2004-10-31,945,340.1,103,85.6,271,57.2
2004-11-30,866,238.5,91,67.6,247,54.2
2004-12-31,940,218.6,83,65,233,49.2
2005-01-31,910,202.1,73,60.1,184,44.2
2005-02-28,920,180.5,67,54.1,180,42.2
2005-03-31,1583,286.3,198,72.4,213,101.3
2005-04-30,2007,449.2,334,67.9,366,191.3
2005-05-31,3187,780.7,568,149,684,255.3
2005-06-30,5137,1483,769,463,1200,391.2
2005-07-31,5867,1509.9,434,519,821,171
2005-08-31,3407,1039.7,226,292,536,127.5
2005-09-30,1983,633.4,145,167,384,54.2
2005-10-31,1157,331.1,105,84.4,275,53.2
2005-11-30,958,270.1,81,64.4,233,48.2
2005-12-31,857,225.7,73,52.4,190,61.2
2006-01-31,733,181.2,65,37.9,159,55.2
2006-02-28,974,214.9,89,42.8,188,71.2
2006-03-31,982,231.1,104,50.6,181,69.2
2006-04-30,1346,370.1,267,55.3,427,165.9
2006-05-31,3094,905.7,552,190,963,425
2006-06-30,2986,1021.6,465,244,941,218.7
2006-07-31,3518,1141.5,295,306,896,116.4
2006-08-31,3482,1279.2,197,307,711,49.2
2006-09-30,1577,608.9,118,138,383,50.2
2006-10-31,795,390.6,117,67.5,271,58.2
2006-11-30,678,333.4,119,50.3,241,63.2
2006-12-31,622,281.9,87,42.7,196,64.2
2007-01-31,644,200.4,71,41.1,158,53.2
2007-02-28,516,181.9,70,40,179,51.2
2007-03-31,638,249.3,110,48.5,172,41.2
2007-04-30,2087,690.9,419,100,423,146.7
2007-05-31,2907,992,591,227,653,154.8
2007-06-30,3093,1024.3,675,345,756,104.3
2007-07-31,3291,1066.6,441,380,697,87.2
2007-08-31,2469,923.5,235,269,480,63.2
2007-09-30,1684,745.4,151,174,340,55.2
2007-10-31,772,273.2,104,76.3,241,35.3
