date,q,q_zs,scf_1,scf_2,scf_3,scf_4,scf_5,scf_6,scf_7,scf_8,scf_9,scf_10,scf_mean,swe_1,swe_2,swe_3,swe_4,swe_5,swe_6,swe_7,swe_8,swe_9,swe_10,swe_mean,index_NAO,index_PDO,d_q,d_d_q,d_scf_1,d_scf_2,d_scf_3,d_scf_4,d_scf_5,d_scf_6,d_scf_7,d_scf_8,d_scf_9,d_scf_10,d_scf_mean,d_d_scf_1,d_d_scf_2,d_d_scf_3,d_d_scf_4,d_d_scf_5,d_d_scf_6,d_d_scf_7,d_d_scf_8,d_d_scf_9,d_d_scf_10,d_d_scf_mean,d_swe_1,d_swe_2,d_swe_3,d_swe_4,d_swe_5,d_swe_6,d_swe_7,d_swe_8,d_swe_9,d_swe_10,d_swe_mean,d_d_swe_1,d_d_swe_2,d_d_swe_3,d_d_swe_4,d_d_swe_5,d_d_swe_6,d_d_swe_7,d_d_swe_8,d_d_swe_9,d_d_swe_10,d_d_swe_mean,month,year,series,q_lag_roll_12,q_lag_roll_6
2023-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023,265,388.75,617.8333333333334
2023-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023,266,389.1666666666667,676.8333333333334
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023,267,390.3333333333333,700.6666666666666
2023-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2023,268,412.4166666666667,648.8333333333334
2023-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2023,269,419.8333333333333,533.0
2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2023,270,440.5833333333333,403.1666666666667
2023-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2023,271,447.9166666666667,
2023-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2023,272,452.5,
2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2023,273,453.8333333333333,
2023-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2023,274,456.25,
2023-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2023,275,458.25,
2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2023,276,459.5,
