q,month,year,q_lag_roll_6,q_lag_roll_12
173.0,1,2001,,
169.0,2,2001,,
202.0,3,2001,,
329.0,4,2001,,
761.0,5,2001,,
866.0,6,2001,,
645.0,7,2001,,
565.0,8,2001,,
377.0,9,2001,,
291.0,10,2001,,
243.0,11,2001,,
199.0,12,2001,416.6666666666667,
190.0,1,2002,495.3333333333333,
178.0,2,2002,561.3333333333334,
201.0,3,2002,590.5,
491.0,4,2002,584.1666666666666,
714.0,5,2002,497.8333333333333,
1577.0,6,2002,386.6666666666667,
1160.0,7,2002,310.8333333333333,
811.0,8,2002,246.33333333333331,
396.0,9,2002,217.0,
325.0,10,2002,250.33333333333331,
255.0,11,2002,328.8333333333333,
228.0,12,2002,558.5,401.6666666666667
198.0,1,2003,720.1666666666666,403.0833333333333
195.0,2,2003,825.6666666666666,403.8333333333333
203.0,3,2003,858.1666666666666,403.75
325.0,4,2003,830.5,417.25
748.0,5,2003,754.0,413.3333333333333
1303.0,6,2003,529.1666666666666,472.5833333333333
1163.0,7,2003,368.8333333333333,515.5
725.4,8,2003,266.1666666666667,536.0
525.3,9,2003,234.0,537.5833333333334
301.2,10,2003,234.0,540.4166666666666
251.5,11,2003,316.1666666666667,541.4166666666666
220.5,12,2003,495.3333333333333,543.8333333333334
204.0,1,2004,656.1666666666666,544.5
200.0,2,2004,744.5666666666666,545.9166666666666
214.0,3,2004,798.2833333333333,546.0833333333334
406.0,4,2004,794.3166666666666,532.25
717.0,5,2004,711.5666666666666,535.0833333333334
1114.0,6,2004,531.15,512.25
921.0,7,2004,371.31666666666666,512.5
570.0,8,2004,283.74999999999994,505.3666666666666
361.0,9,2004,231.86666666666665,516.1416666666667
271.0,10,2004,249.33333333333331,514.1583333333333
247.0,11,2004,326.9166666666667,513.8666666666667
233.0,12,2004,475.8333333333333,513.2416666666667
184.0,1,2005,595.3333333333334,513.7416666666667
180.0,2,2005,657.0,514.1583333333333
213.0,3,2005,681.5,515.0749999999999
366.0,4,2005,659.0,521.8249999999999
684.0,5,2005,580.6666666666666,519.2416666666667
1200.0,6,2005,433.8333333333333,503.4916666666666
821.0,7,2005,311.0,483.325
536.0,8,2005,246.0,470.375
384.0,9,2005,221.33333333333331,456.6833333333333
275.0,10,2005,237.16666666666663,454.1666666666667
233.0,11,2005,310.0,453.7916666666667
190.0,12,2005,471.1666666666667,454.8333333333333
159.0,1,2006,577.3333333333334,453.1666666666667
188.0,2,2006,636.6666666666666,451.5
181.0,3,2006,665.1666666666666,451.4166666666667
427.0,4,2006,650.0,448.0833333333333
963.0,5,2006,574.8333333333334,445.3333333333333
941.0,6,2006,406.5,452.5
896.0,7,2006,296.1666666666667,444.1666666666667
711.0,8,2006,238.16666666666663,441.3333333333333
383.0,9,2006,204.33333333333331,443.25
271.0,10,2006,229.66666666666663,443.5833333333333
241.0,11,2006,351.3333333333333,442.4166666666667
196.0,12,2006,476.5,438.8333333333333
158.0,1,2007,599.3333333333334,436.75
179.0,2,2007,686.5,437.4166666666667
172.0,3,2007,720.1666666666666,434.75
423.0,4,2007,694.1666666666666,439.8333333333333
653.0,5,2007,573.8333333333334,463.0833333333333
756.0,6,2007,449.6666666666667,441.5
697.0,7,2007,326.6666666666667,447.75
480.0,8,2007,238.0,462.3333333333333
340.0,9,2007,202.83333333333331,462.25
241.0,10,2007,228.16666666666663,461.9166666666667
196.0,11,2007,296.8333333333333,462.5833333333333
184.0,12,2007,390.1666666666667,463.0833333333333
142.0,1,2008,480.0,463.0
146.0,2,2008,530.1666666666666,462.25
187.0,3,2008,558.1666666666666,461.5
240.0,4,2008,527.8333333333334,461.1666666666667
663.0,5,2008,451.6666666666667,435.3333333333333
675.0,6,2008,356.3333333333333,419.9166666666667
469.0,7,2008,263.8333333333333,403.3333333333333
480.0,8,2008,208.16666666666663,384.0833333333333
276.0,9,2008,182.66666666666663,380.5
244.0,10,2008,182.5,378.0
208.0,11,2008,260.3333333333333,374.25
185.0,12,2008,342.1666666666667,373.25
149.0,1,2009,396.6666666666667,371.9166666666667
167.0,2,2009,452.3333333333333,369.1666666666667
192.0,3,2009,467.1666666666667,370.4166666666667
286.0,4,2009,467.8333333333333,355.1666666666667
503.0,5,2009,392.0,356.0
1140.0,6,2009,310.3333333333333,349.25
997.0,7,2009,257.0,330.25
717.0,8,2009,204.83333333333331,330.25
469.0,9,2009,190.83333333333331,324.9166666666667
398.0,10,2009,197.83333333333331,325.1666666666667
282.0,11,2009,247.0,326.1666666666667
235.0,12,2009,406.1666666666667,326.25
216.0,1,2010,547.5,326.8333333333333
204.0,2,2010,639.1666666666666,328.5833333333333
227.0,3,2010,685.3333333333334,329.0
514.0,4,2010,704.0,332.8333333333333
1128.0,5,2010,667.1666666666666,319.5
1683.0,6,2010,516.3333333333334,358.25
1250.0,7,2010,386.1666666666667,402.25
933.0,8,2010,300.6666666666667,422.0
486.0,9,2010,260.3333333333333,438.0833333333333
354.0,10,2010,279.6666666666667,450.9166666666667
265.0,11,2010,420.6666666666667,457.0833333333333
235.0,12,2010,662.0,461.25
204.0,1,2011,834.3333333333334,466.8333333333333
214.0,2,2011,955.8333333333334,469.9166666666667
209.0,3,2011,999.0,472.8333333333333
476.0,4,2011,972.3333333333334,491.8333333333333
