system:index,16924_01_Chirchik,16924_02_Chirchik,16924_03_Chirchik,16924_04_Chirchik,16924_05_Chirchik,16924_06_Chirchik,16924_07_Chirchik,16924_08_Chirchik,16924_09_Chirchik,16924_10_Chirchik,16936_01_Inflow Toktogul,16936_02_Inflow Toktogul,16936_03_Inflow Toktogul,16936_04_Inflow Toktogul,16936_05_Inflow Toktogul,16936_06_Inflow Toktogul,16936_07_Inflow Toktogul,16936_08_Inflow Toktogul,16936_09_Inflow Toktogul,16936_10_Inflow Toktogul,16938_01_Karadarya,16938_02_Karadarya,16938_03_Karadarya,16938_04_Karadarya,16938_05_Karadarya,16938_06_Karadarya,16938_07_Karadarya,16938_08_Karadarya,16938_09_Karadarya,16938_10_Karadarya,17089_01_Vakhsh,17089_02_Vakhsh,17089_03_Vakhsh,17089_04_Vakhsh,17089_05_Vakhsh,17089_06_Vakhsh,17089_07_Vakhsh,17089_08_Vakhsh,17089_09_Vakhsh,17089_10_Vakhsh,17137_01_Kofarnikhan,17137_02_Kofarnikhan,17137_03_Kofarnikhan,17137_04_Kofarnikhan,17137_05_Kofarnikhan,17137_06_Kofarnikhan,17137_07_Kofarnikhan,17137_08_Kofarnikhan,17137_09_Kofarnikhan,17137_10_Kofarnikhan,17461_01_Zeravshan,17461_02_Zeravshan,17461_03_Zeravshan,17461_04_Zeravshan,17461_05_Zeravshan,17461_06_Zeravshan,17461_07_Zeravshan,17461_08_Zeravshan,17461_09_Zeravshan,17461_10_Zeravshan,Year-Month,.geo
4,0.512901553,0.136842105,0.353643967,1.244758065,4.712701613,9.342275042,24.68160871,37.44595943,52.15835777,62.95119934,0.051290323,0.016774194,0.093515803,0.296774194,2.531290323,11.78146055,15.84967742,21.92342783,36.82958618,53.37064516,0.391098134,0.038638781,0.015447524,0.037056785,0.304105572,3.329493088,9.734042553,22.18167985,41.83837712,62.74968983,0.102903226,0.310967742,2.043336592,9.014516129,16.59183673,33.43225806,49.80221571,56.14630173,65.1715996,72.67419355,0,0,0,0.001265022,0.006068349,0.088302379,0.459758879,2.641403069,21.38131467,59.57521559,0.012010981,0.076762246,0.216951297,0.427109181,1.244040265,8.187419355,22.28064516,37.88446346,52.55134655,66.04190791,2001-05,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
5,0.122622718,0.070175439,0.114197531,0.113333333,0.363888889,0.385263158,2.980952381,8.871477663,21.01750842,40.87350427,0,0.018666667,0.008080808,0,0.145428571,1.204396825,1.426358974,3.161878862,10.49713435,32.44690476,0.041108737,0,0.012206573,0.018732782,0.060606061,0.020970696,0.322258592,2.956386067,11.42822212,34.55124331,0.064,0.008666667,0.047138047,1.236446886,3.371854676,9.732915751,26.01599512,36.67800903,49.03076734,67.40891026,0,0,0,0,0,0.061279461,0.133477633,0.063935417,2.383236575,27.88504697,0.009929078,0.085185185,0.089039718,0.170216963,0.177795963,0.92025641,3.340677656,10.63946886,24.01210303,48.96863905,2001-06,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
6,0.040290381,0.008711434,0.204980843,0.031465517,0.237068966,0.128130672,0.625167936,0.699964451,1.152908394,10.30371353,0.036896552,0.3,0.147335423,0.596896552,0.386896552,0.871724138,0.630689655,1.469522814,3.424939046,15.91758621,0.407726692,0,0.046138902,0.084639498,0.04137931,0.113608374,0.173881145,0.770331815,3.402061856,13.6903183,0.196206897,0.064137931,0.336119819,1.558965517,2.868402533,5.194827586,11.03448276,19.69766632,30.72484892,56.42344828,0,0,0,0,0.003414135,0.113200975,0.173458725,0.176096418,0.309694209,4.534994879,0.067865004,0.074712644,0.156186613,0.267241379,0.331254585,0.386206897,0.572068966,2.280436312,6.849098387,26.92956086,2001-07,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
7,0.001975614,0,0.078255675,0.0875,0.108534946,0.187436333,0.187264349,0.343199202,1.204952753,12.69272126,0.00483871,0.144193548,0.124796351,0.382903226,0.337096774,1.232876344,0.340967742,0.580645161,1.978820463,20.15,0.023894863,0.005317263,0.044525216,0.24820048,0.19941349,0.311923963,0.288606726,0.393183201,1.458264051,11.09181141,0.126774194,0.142258065,0.142391659,0.498064516,0.644173799,1.758709677,8.287390029,18.74747475,31.3658131,56.42709677,0,0,0,0.011385199,0.012456084,0.009775171,0.018246986,0.031005324,0.075167377,3.312040882,0.001372684,0.009557945,0.023719165,0.065136476,0.018874399,0.08516129,0.154193548,1.373601053,4.893459603,25.49241798,2001-08,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
10,0.621836228,0.242105263,1.403225806,4.630241935,18.61290323,34.97181664,59.50565563,71.06821057,76.87457444,76.91566128,0.038709677,0.072258065,0.404366243,2.78516129,8.147419355,22.53930382,32.21145161,42.77124265,57.91383018,67.35898776,0.279569892,0,0.066333485,0.485203946,2.639882698,10.99884793,23.04873027,34.86944614,55.91164295,70.90649297,0.210322581,1.98483871,11.96904529,28.3083871,35.46148782,56.85580645,66.09123493,68.69077876,73.09577652,73.87258065,0,0,0.032903226,0.03257432,0.118173108,0.541544477,1.985663082,17.38960225,57.55782106,80.6981795,0,0.071684588,0.345983555,2.509615385,8.1757035,28.31714286,50.52702151,68.18531929,75.00130182,73.40303937,2002-05,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
12,0.01426146,0.210526316,0.267323775,0.293951613,0.533938172,0.57147708,1.744868035,7.106750915,20.23525578,43.87593052,0.163225806,0.092258065,0.230042359,0.381935484,0.223548387,1.61560401,1.582580645,2.688497882,6.857608341,21.07741935,0.149551066,0.056362992,0.120399818,0.147427353,0.290322581,0.088133641,0.360672615,1.217285453,4.230129697,17.29869727,0.205806452,0.169032258,0.340175953,1.780645161,4.6359447,11.27903226,27.51449984,34.25676116,44.04123711,63.05193548,0,0,0,0.012966477,0.05748962,0.182795699,0.412838058,0.66050736,3.67060473,30.92398595,0.020247083,0.158303465,0.434218849,0.454094293,0.440974605,1.44516129,3.583225806,11.09381172,25.08700799,48.44968293,2002-07,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
13,0.125879214,0.211544992,0.043608124,0.231048387,0.040322581,0.122241087,0.209886887,0.964083804,3.153470186,17.87427626,0.068064516,0.036774194,0.093189964,0.111935484,0.22811828,1.082658509,0.422354839,0.839890938,2.789824084,18.21480065,0.250896057,0.007444169,0.071331213,0.106371634,0.172434018,0.375288018,0.234728895,0.390444309,1.040571999,9.832351117,0.249677419,0.057419355,0.065819485,0.586451613,1.050076805,2.599645161,11.17958386,21.93458781,33.18290655,59.90709677,0,0,0,0,0,0.001303356,0.134571522,0.144065142,0.724284845,11.46279144,0.008236102,0.016726404,0.091714105,0.150744417,0.149965683,0.333225806,0.724516129,4.049374589,11.26546315,38.45133719,2002-08,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
14,0,0.040350877,0.09691358,0.150416667,0.092708333,0.096491228,0.236363636,0.564604811,1.076094276,10.57820513,0.003,0.046,0.446127946,0.209333333,0.429333333,1.265362319,1.316,3.337710438,9.522222222,29.88833333,0,0.107692308,0.289201878,0.257024793,0.52,0.646428571,0.660638298,1.853144654,5.669072165,19.56217949,0.098333333,0.122,0.116498316,0.662333333,2.234013605,3.426666667,9.34983165,24.47037037,36.59209622,57.149,0,0,0,0,0.016171617,0.043097643,0.133333333,0.336245955,0.893710692,7.289438944,0.00212766,0.036111111,0.164705882,0.249358974,0.433333333,0.904666667,1.720333333,4.778911565,10.64954128,36.44558405,2002-09,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
0000000000000000001c,0.827843803,1.111714771,5.458781362,11.46693548,27.40961022,39.24617997,58.30272308,67.22381111,72.84359726,74.30272953,0.158387097,0.30516129,1.772890192,7.230645161,17.39709677,31.78806452,42.61645161,50.92357988,62.0609319,68.93419355,0.293550565,0.05281815,0.259881872,2.366302319,5.264809384,16.7718894,31.46053535,43.99513086,61.17858331,71.29280397,0.253225806,2.122903226,12.32746823,24.61322581,32.10072416,52.90347312,59.90452916,61.78950798,67.8011307,71.44064516,0,0,0.036774194,0.046173308,0.250399233,0.571521668,4.744542196,29.01127466,63.08094948,78.86394123,0.055936857,0.187275986,0.782099937,2.280086849,4.948867536,19.48741935,39.35516129,56.91079658,66.60284108,68.76206231,2003-05,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
0000000000000000001e,0.026485569,0.069949066,0.136798088,0.115725806,0.182795699,0.329032258,0.743192292,3.508147655,11.50276963,31.50330852,0.056451613,0.030967742,0.130661453,0.161612903,0.247096774,1.100685962,0.764193548,2.117953731,6.138155751,25.18032258,0,0.038993265,0.074057247,0.200746468,0.429618768,0.461981567,0.304735758,1.446743761,4.295643499,21.77171216,0.16516129,0.047741935,0.123167155,1.146451613,2.510862409,6.511935484,17.08602151,26.78136201,38.11805786,62.18290323,0,0,0,0,0.007665283,0.046269143,0.223199739,0.52583777,3.345404747,27.65633983,0.004118051,0.021505376,0.129032258,0.202853598,0.272820865,0.986451613,2.562903226,8.316326531,19.73157739,41.08905431,2003-07,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
0000000000000000001f,0.070967742,0.105602716,0.206989247,0.32983871,0.229166667,0.277758913,0.336824466,0.705021616,1.823721082,12.4127378,0.134193548,0.111290323,0.142391659,0.369354839,0.435483871,1.784761649,1.155483871,1.69925057,3.573476703,15.89129032,0.298088411,0.008862106,0.026351658,0.091442282,0.16627566,0.141129032,0.510981469,0.438222763,2.070834719,13.04466501,0.176451613,0.153548387,0.176604757,0.67516129,0.792297564,1.622580645,7.938090583,18.8914956,30.38510143,56.35516129,0,0,0,0,0.007665283,0.060606061,0.198435973,0.412777952,0.637553256,10.03353561,0.026080988,0.151433692,0.170461733,0.313275434,0.307137955,0.618709677,1.147419355,3.58558262,9.210713229,35.47201544,2003-08,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
20,0.034194577,0.029473684,0.040123457,0.161666667,0.116666667,0.252631579,0.442857143,0.320962199,1.238047138,10.13205128,0.244666667,0.333666667,0.356565657,0.892666667,1.199666667,3.479643717,4.993,7.407407407,12.23602694,22.717,0.13513946,0.111355311,0.17370892,0.599173554,1.579393939,2.908035714,6.727659574,11.10220126,17.07182131,27.0150641,0.189666667,0.685666667,0.541077441,1.903666667,3.575170068,8.002333333,14.53030303,25.98080808,36.18969072,59.75333333,0,0,0,0,0.008910891,0.076430976,0.248821549,0.583171521,2.891823899,17.60165017,0.10070922,0.105555556,0.241830065,0.447435897,0.79787234,1.952333333,4.186,8.313605442,15.90642202,38.5980057,2003-09,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
29,0.250526316,0.033684211,0.091358025,0.210833333,0.803819444,0.940701754,5.088311688,13.82508591,31.44545455,50.29358974,0.050333333,0.096666667,0.084848485,0.175,0.475333333,3.42137931,6.46,9.051515152,20.03737374,38.37124631,0.010605413,0.00952381,0.04600939,0.173002755,0.425151515,0.631547619,2.204609929,6.24988072,15.24879725,37.22051282,0.238333333,0.264666667,0.709427609,4.763666667,10.14931973,22.25833333,40.1030303,47.67513228,58.15841924,69.911,0,0,0,0,0.003960396,0.350505051,0.525252525,0.842394822,15.99779874,57.39966997,0.036879433,0.148148148,0.269281046,0.365384615,0.755319149,4.760333333,15.41633333,31.10952381,48.39877676,64.07720798,2004-06,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
0000000000000000002a,0.168760611,0.277419355,0.284946237,0.284677419,0.285954301,0.381663837,0.742773356,2.043565015,5.283262735,19.7464847,0.221935484,0.301935484,0.378950798,0.400257323,0.457419355,1.320210934,1.412365591,4.476452699,8.212640141,35.36354839,0,0.296703297,0.532485234,1.31804852,0.83255132,0.806163594,0.98490048,1.495739501,4.299966744,20.2971464,0.523870968,0.252903226,0.39524275,1.188064516,2.298880843,5.646774194,16.05115673,27.60312805,36.47888261,59.17032258,0,0,0,0,0.037368253,0.319322255,0.697621375,1.120263075,2.652769324,24.35228362,0.191489362,0.39874552,0.408918406,0.716811414,0.480096088,1.526774194,3.027096774,9.268268598,21.62622078,46.81913427,2004-07,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
0000000000000000002b,0.055348048,0.1762309,0.112007168,0.198790323,0.298387097,0.205432937,0.344365312,0.492517459,1.213098729,10.59925558,0.127741935,0.149032258,0.292277615,0.419354839,0.362903226,1.287829912,0.508387097,1.126751385,2.239049481,15.62558732,0.02271621,0.10740872,0.160381645,0.328978939,0.347507331,0.363767281,0.77865477,0.98874011,1.970734952,13.11395368,0.203870968,0.192258065,0.19941349,0.735806452,0.965766952,1.878709677,8.961550994,19.59921799,32.22048553,58.07903226,0,0,0.032258065,0.053447185,0.012775471,0.089279896,0.201368524,0.580331976,0.955873402,10.45320984,0.082704187,0.070489845,0.140417457,0.342431762,0.418668497,0.572903226,1.113548387,3.538512179,10.13110388,34.39812517,2004-08,"{""type"":""Point"",""coordinates"":[70.83708206585142,38.23169019768508]}"
